timestamp,stage,taskId,durationMs,queueSize,workerId
1772826825960,DECODE,29000ms,598,0,DefaultDispatcher-worker-35
1772826825960,PROCESS,29000ms,0,0,DefaultDispatcher-worker-35
1772826826078,DECODE,32000ms,596,0,DefaultDispatcher-worker-14
1772826826078,PROCESS,32000ms,0,0,DefaultDispatcher-worker-14
1772826826174,DECODE,51000ms,622,0,DefaultDispatcher-worker-7
1772826826175,PROCESS,51000ms,0,0,DefaultDispatcher-worker-7
1772826826268,DECODE,61000ms,623,0,DefaultDispatcher-worker-9
1772826826268,PROCESS,61000ms,0,0,DefaultDispatcher-worker-9
1772826826362,DECODE,44000ms,604,0,DefaultDispatcher-worker-40
1772826826363,PROCESS,44000ms,0,0,DefaultDispatcher-worker-40
1772826826460,DECODE,64000ms,624,0,DefaultDispatcher-worker-4
1772826826461,PROCESS,64000ms,0,0,DefaultDispatcher-worker-4
1772826826580,DECODE,48000ms,658,0,DefaultDispatcher-worker-11
1772826826580,PROCESS,48000ms,0,0,DefaultDispatcher-worker-11
1772826826651,DECODE,140000ms,627,9,DefaultDispatcher-worker-10
1772826826652,PROCESS,140000ms,0,9,DefaultDispatcher-worker-10
1772826826768,DECODE,200000ms,633,9,DefaultDispatcher-worker-35
1772826826770,PROCESS,200000ms,0,9,DefaultDispatcher-worker-35
1772826826875,DECODE,340000ms,625,9,DefaultDispatcher-worker-62
1772826826876,PROCESS,340000ms,0,9,DefaultDispatcher-worker-62
1772826826940,DECODE,350000ms,605,9,DefaultDispatcher-worker-7
1772826826941,PROCESS,350000ms,0,9,DefaultDispatcher-worker-7
1772826827045,DECODE,370000ms,618,9,DefaultDispatcher-worker-9
1772826827045,PROCESS,370000ms,0,9,DefaultDispatcher-worker-9
1772826827143,DECODE,380000ms,613,9,DefaultDispatcher-worker-40
1772826827143,PROCESS,380000ms,0,9,DefaultDispatcher-worker-40
1772826827212,DECODE,141000ms,560,8,DefaultDispatcher-worker-10
1772826827213,PROCESS,141000ms,0,8,DefaultDispatcher-worker-10
1772826827311,DECODE,430000ms,651,9,DefaultDispatcher-worker-4
1772826827311,PROCESS,430000ms,0,9,DefaultDispatcher-worker-4
1772826827384,DECODE,201000ms,613,8,DefaultDispatcher-worker-35
1772826827385,PROCESS,201000ms,0,8,DefaultDispatcher-worker-35
1772826827459,DECODE,341000ms,583,8,DefaultDispatcher-worker-62
1772826827459,PROCESS,341000ms,0,8,DefaultDispatcher-worker-62
1772826827542,DECODE,351000ms,601,8,DefaultDispatcher-worker-7
1772826827542,PROCESS,351000ms,0,8,DefaultDispatcher-worker-7
1772826827634,DECODE,371000ms,589,8,DefaultDispatcher-worker-9
1772826827634,PROCESS,371000ms,0,8,DefaultDispatcher-worker-9
1772826827717,DECODE,381000ms,573,8,DefaultDispatcher-worker-40
1772826827718,PROCESS,381000ms,0,8,DefaultDispatcher-worker-40
1772826827811,DECODE,142000ms,597,7,DefaultDispatcher-worker-10
1772826827811,PROCESS,142000ms,0,7,DefaultDispatcher-worker-10
1772826827895,DECODE,431000ms,584,8,DefaultDispatcher-worker-4
